Episodes,Win Ratio 1,Win Ratio 2
39900,89.0,11.0
40000,91.0,8.0
40100,91.0,6.0
40200,84.0,11.0
40300,86.0,12.0
40400,93.0,3.0
40500,86.0,14.000000000000002
40600,84.0,15.0
40700,87.0,13.0
40800,80.0,20.0
40900,88.0,12.0
41000,86.0,12.0
41100,86.0,14.000000000000002
41200,85.0,15.0
41300,83.0,16.0
41400,84.0,12.0
41500,87.0,13.0
41600,90.0,10.0
41700,83.0,16.0
41800,83.0,17.0
41900,92.0,7.000000000000001
42000,86.0,14.000000000000002
42100,93.0,7.000000000000001
42200,85.0,13.0
42300,85.0,14.000000000000002
42400,85.0,14.000000000000002
42500,88.0,10.0
42600,92.0,7.000000000000001
42700,92.0,8.0
42800,85.0,15.0
42900,89.0,11.0
43000,83.0,16.0
43100,90.0,10.0
43200,92.0,7.000000000000001
43300,93.0,6.0
43400,89.0,9.0
43500,86.0,14.000000000000002
43600,89.0,9.0
43700,86.0,14.000000000000002
43800,86.0,14.000000000000002
43900,91.0,9.0
44000,89.0,7.000000000000001
44100,88.0,9.0
44200,81.0,19.0
44300,85.0,12.0
44400,83.0,13.0
44500,87.0,9.0
44600,89.0,11.0
44700,83.0,17.0
44800,88.0,10.0
44900,83.0,17.0
45000,86.0,14.000000000000002
45100,85.0,14.000000000000002
45200,91.0,9.0
45300,86.0,13.0
45400,89.0,11.0
45500,89.0,11.0
45600,91.0,7.000000000000001
45700,82.0,15.0
45800,89.0,10.0
45900,87.0,11.0
46000,87.0,13.0
46100,90.0,9.0
46200,89.0,11.0
46300,87.0,10.0
46400,86.0,13.0
46500,85.0,15.0
46600,89.0,9.0
46700,87.0,9.0
46800,85.0,11.0
46900,90.0,5.0
47000,86.0,10.0
47100,91.0,9.0
47200,89.0,9.0
47300,91.0,8.0
47400,88.0,11.0
47500,89.0,7.000000000000001
47600,89.0,9.0
47700,82.0,14.000000000000002
47800,93.0,6.0
47900,89.0,11.0
48000,87.0,11.0
48100,91.0,5.0
48200,87.0,10.0
48300,91.0,4.0
48400,89.0,5.0
48500,85.0,8.0
48600,91.0,5.0
48700,88.0,10.0
48800,83.0,13.0
48900,88.0,7.000000000000001
49000,83.0,12.0
49100,91.0,8.0
49200,88.0,7.000000000000001
49300,89.0,8.0
49400,90.0,9.0
49500,93.0,3.0
49600,89.0,11.0
49700,86.0,12.0
49800,83.0,14.000000000000002
49900,86.0,11.0
50000,90.0,9.0
50100,88.0,10.0
50200,89.0,7.000000000000001
50300,86.0,9.0
50400,91.0,8.0
50500,86.0,12.0
50600,92.0,4.0
50700,88.0,10.0
50800,83.0,15.0
50900,82.0,16.0
51000,86.0,14.000000000000002
51100,91.0,6.0
51200,91.0,8.0
51300,85.0,15.0
51400,90.0,8.0
51500,87.0,10.0
51600,86.0,9.0
51700,84.0,10.0
51800,94.0,5.0
51900,85.0,8.0
52000,89.0,8.0
52100,87.0,10.0
52200,93.0,7.000000000000001
52300,85.0,10.0
52400,91.0,7.000000000000001
52500,88.0,12.0
52600,90.0,6.0
52700,90.0,7.000000000000001
52800,87.0,7.000000000000001
52900,87.0,9.0
53000,92.0,6.0
53100,96.0,2.0
53200,85.0,14.000000000000002
53300,87.0,10.0
53400,79.0,16.0
53500,87.0,13.0
53600,94.0,5.0
53700,87.0,9.0
53800,92.0,4.0
53900,90.0,8.0
54000,84.0,11.0
54100,91.0,5.0
54200,86.0,12.0
54300,85.0,9.0
54400,92.0,5.0
54500,89.0,8.0
54600,83.0,12.0
54700,86.0,11.0
54800,87.0,11.0
